source_id,title,authors,year,venue_or_status,url_or_doi,exact_supporting_location,target,observation_regime,method,guarantee_or_inference,evidence_level,same_problem,same_target,same_method,same_evidence,remaining_gap,direct_hit_risk,classification
EV-WRF,"Wasserstein Random Forests and Applications in Heterogeneous Treatment Effects","Du, Biau, Petit, Porcher",2021,"AISTATS / PMLR 130",https://proceedings.mlr.press/v130/du21a.html,"Sections 2.1, 2.4-2.5, and 3; Algorithm 2, pp. 2, 4-7","Conditional marginal law of distribution-valued potential outcomes","Causal two-arm data; observed scalar or multivariate/distribution-valued responses","Wasserstein random forests; weighted empirical measure output; intra- and inter-class Wasserstein splits","Causal application estimates arm-specific conditional marginal laws; predictive forest-weight construction",E3,yes,yes,no,partial,"No treatment-aware boosting, proper-score particle projection, or explicit fixed-M energy-score law fit",high,"direct incumbent"
EV-CausalDRF,"Causal-DRF: Conditional Kernel Treatment Effect Estimation using Distributional Random Forest","Näf, Park, Susmann",2024/2026,"arXiv preprint, v2",https://arxiv.org/abs/2411.08778,"Section 1.1; Section 3; equations (4)-(6); Theorem 4.1","Conditional kernel treatment effect / contrast of arm-specific laws","Causal two-arm data with multivariate or quantile-vector representation","One treatment-aware distributional forest with CKTE-targeted split criterion and Gaussian kernel","Consistency, convergence rate, asymptotic normality, and sampling distribution under assumptions",E3,yes,partial,no,no,"Different fitted target from fixed-M arm-law projection; no ensemble-coupled energy-score particles",high,"direct incumbent"
EV-WGBoost,"WGBoost: Wasserstein Gradient Boosting for Uncertainty Forecasting","Shen, Meinshausen",2024,"NeurIPS 2024",https://papers.nips.cc/paper_files/paper/2024/hash/d78ca21959823cf8aa8e26d359cf1105-Abstract-Conference.html,"Sections 2.3, 3.3, and 3.4; equations (5) and (8)","Conditional distributional prediction","Noncausal supervised data; a distribution is supplied for each input","Particle-wise Wasserstein gradient boosting with smoothed KL-type gradient and approximate Newton update","Algorithmic optimization method; no causal identification result",E3,partial,partial,partial,no,"No potential-outcome treatment learner and no empirical energy score on observed quantile-vector outcomes",medium,"engine neighbor"
EV-LIN,"Causal Inference for Distributional Outcomes","Lin, Kong, Wang",2023,"JRSS B 85(2)",https://doi.org/10.1093/jrssb/qkad008,"Sections 2-3; Wasserstein causal effect map and barycenter definitions","Causal effect map and barycenter-based effects for distribution-valued outcomes","Potential outcomes with distribution-valued responses","Identification and doubly robust causal effect estimation in Wasserstein space","Identification, estimation, and asymptotic theory for causal distributional effects",E3,yes,partial,no,no,"Not a conditional-law learner and not a tree/boosting particle algorithm",medium,"scope neighbor"
EV-MVBCF,"Multivariate Bayesian Causal Forests","McJames et al.",2024,"JRSS A",https://doi.org/10.1093/jrsssa/qnae049,"Algorithm 1; Sections 3.3 and 5","Multivariate causal outcome means and covariance structure","Causal multivariate outcomes","Shared Bayesian tree structures with vector leaf parameters and residual covariance","Bayesian posterior inference and simulations/application",E3,yes,partial,partial,no,"No random-measure target or finite-M proper-score projection",high,"architecture neighbor"
EV-SBF,"Semiparametric Mixed-Scale Models Using Shared Bayesian Additive Regression Trees","Linero, Sinha, Lipsitz",2020,"Biometrics",https://doi.org/10.1111/biom.13107,"Section 2.1, shared forests","Multiple model components with shared information","Multivariate, heteroscedastic, and mixed-scale regression","Shared Bayesian sum-of-tree structures","Bayesian semiparametric modeling with information sharing",E3,partial,no,partial,no,"No causal conditional-law target; adaptive pooling requires a new demonstrated result",medium,"architecture neighbor"
EV-MVCBART,"multiVCBART: Multivariate Causal Inference with Bayesian Additive Regression Trees","Ghosh, Deshpande",2026,"arXiv preprint",https://arxiv.org/abs/2606.29114,"Sections 1.1-1.2 and 2; Figure 1","Multivariate causal response surfaces with joint residual dependence","Causal multivariate outcomes","Outcome-specific BART surfaces plus sparse graphical-Horseshoe residual precision","Bayesian posterior inference and causal effect estimation",E3,yes,partial,partial,no,"No distribution-valued potential-outcome law, fixed-M projection, or energy-score particles",high,"architecture neighbor"
EV-FOCAL,"Functional Outcome Causal Learning","FOCaL authors",2026,"arXiv preprint",https://arxiv.org/abs/2602.11118,"Section 2.1","Functional conditional treatment effect","Causal data with functional outcomes","Doubly robust functional meta-learner","Double robustness for functional pseudo-outcomes and final effect",E3,yes,no,no,no,"Targets functional conditional means/effects rather than full conditional arm laws",medium,"scope neighbor"
EV-HUANG,"Wasserstein Policy Learning","Huang et al.",2026,"AISTATS / PMLR 336",https://proceedings.mlr.press/v336/huang26a.html,"Official abstract and PMLR record","Policy value with utility of Wasserstein barycenter of distribution-valued potential outcomes","Causal potential outcomes with distribution-valued responses","IPW and doubly robust Wasserstein policy learning","Policy regret and policy optimization guarantees",E2,yes,no,no,no,"Different policy estimand and no conditional-law learner",medium,"scope neighbor"
EV-DRF,"Distributional Random Forests","Ćevid, Michel, Näf, Buhlmann",2022,"JMLR 23(147)",https://www.jmlr.org/papers/volume23/21-0585/21-0585.html,"Definition of distributional random forests and forest-weight law estimation","Conditional multivariate response law","Noncausal predictive regression","Forest-weight conditional distribution estimation with distributional split criteria","Predictive consistency and distributional inference results",E2,no,yes,no,no,"No treatment assignment or potential-outcome construction; mandatory predictive baseline",high,"direct predictive incumbent"
EV-ENGRESSION,"Engression: Extrapolation through the Lens of Distributional Regression","Shen, Meinshausen",2025,"JRSS B 87(3)",https://academic.oup.com/jrssb/article/87/3/653/7909013?searchresult=1,"Abstract and journal record","Full conditional distribution regression","Noncausal regression","Generative distributional regression motivated by proper scoring","Distributional prediction and extrapolation analysis",E2,no,partial,no,no,"No treatment-aware tree learner or potential-outcome law target",medium,"engine neighbor"
EV-KOEMEN,"Distributional Split Criteria for Random Forests: Extensions, Shrinkage, and the Robustness of Mean Splitting","Koemen",2026,"arXiv preprint",https://arxiv.org/abs/2607.23721,"Abstract and arXiv record","Conditional response distribution","Noncausal random forests","MMD, anisotropic, adaptive, and sliced-Wasserstein split criteria with shrinkage","Empirical distributional forest performance and robustness analysis",E2,no,yes,partial,no,"Not causal, not boosting, and not proper-score particle projection; raises generic-tree novelty risk",medium,"adjacent current"
EV-SCORINGNET,"Scoring rule nets: beyond mean target prediction in multivariate regression","Scoring rule nets authors",2024,"arXiv preprint",https://arxiv.org/abs/2409.14456,"Abstract and arXiv record","Multivariate conditional distribution/regression target","Noncausal multivariate regression","Strictly proper scoring-rule neural regression","Distributional prediction comparison with distributional random forests",E2,no,partial,no,no,"No treatment-aware tree construction or potential-outcome estimand",medium,"engine neighbor"
